id,age,genre,ville,situation_familiale,niveau_education,secteur_activite,anciennete_emploi_ans,revenu_mensuel_mad,nb_dependants,historique_credit,nb_credits_precedents,ratio_endettement,duree_credit_mois,montant_credit_mad,defaut_paiement
1,30,Femme,Tanger,Celibataire,Bac+2,Public,3,9100,4,Bon,4,0.48,84,5000,1
2,60,Homme,Agadir,Celibataire,Bac+5,Independant,31,16500,1,Bon,3,0.62,120,5000,0
3,62,Homme,Agadir,Marie,Bac,Public,25,10500,4,Mauvais,6,0.4,36,5000,1
4,33,Homme,Meknes,Divorce,Bac+5,Prive,7,10500,0,Moyen,6,0.65,60,5000,1
5,34,Femme,Tanger,Marie,Bac,Independant,5,7000,5,Bon,6,0.22,60,73000,0
6,48,Homme,Casablanca,Divorce,Bac+3,Prive,16,15100,4,Mauvais,3,0.14,24,78000,0
7,37,Homme,Rabat,Marie,Bac+3,Sans emploi,0,2500,4,Moyen,4,0.3,84,19000,1
8,65,Homme,Casablanca,Celibataire,Bac+3,Public,8,14800,0,Bon,3,0.44,60,5000,0
9,56,Femme,Rabat,Veuf,Bac+3,Sans emploi,0,2200,2,Bon,3,0.18,36,17000,1
10,64,Homme,Fes,Celibataire,Bac+5,Sans emploi,0,2200,1,Moyen,2,0.37,60,5000,1
11,47,Homme,Tanger,Veuf,Bac+5,Prive,16,13200,1,Bon,2,0.48,24,5000,0
12,37,Femme,Casablanca,Veuf,Bac,Public,2,9500,0,Mauvais,2,0.16,48,85000,1
13,31,Femme,Fes,Celibataire,Bac+2,Sans emploi,0,2000,2,Bon,5,0.35,36,5000,1
14,22,Homme,Meknes,Veuf,Bac+2,Prive,0,7700,0,Mauvais,5,0.27,48,59000,1
15,40,Femme,Tanger,Divorce,Bac+5,Public,5,15600,1,Moyen,5,0.59,12,5000,1
16,30,Homme,Fes,Celibataire,Bac+3,Prive,1,7900,4,Bon,2,0.54,60,5000,1
17,35,Femme,Fes,Veuf,Bac+5,Prive,1,9700,4,Bon,1,0.31,12,10000,0
18,29,Femme,Marrakech,Marie,Bac+2,Public,9,9800,3,Bon,4,0.67,60,5000,1
19,65,Homme,Meknes,Veuf,Bac+3,Independant,31,12400,5,Mauvais,3,0.5,36,5000,1
20,30,Femme,Tanger,Divorce,Bac+5,Sans emploi,0,3300,3,Moyen,2,0.24,84,39000,1
21,49,Femme,Casablanca,Marie,Bac+5,Independant,15,21200,4,Mauvais,3,0.43,48,5000,0
22,28,Femme,Fes,Divorce,Bac,Public,8,8900,3,Bon,1,0.3,24,18000,0
23,22,Homme,Fes,Celibataire,Bac+3,Independant,1,9200,4,Bon,3,0.36,48,19000,0
24,50,Femme,Tanger,Divorce,Bac+3,Public,12,13100,3,Mauvais,4,0.6,60,5000,1
25,65,Femme,Casablanca,Marie,Bac+3,Sans emploi,0,3200,5,Bon,6,0.58,24,6000,1
26,47,Femme,Rabat,Marie,Bac,Prive,1,6300,2,Bon,0,0.4,84,5000,0
27,52,Homme,Tanger,Veuf,Bac+5,Independant,25,19900,0,Mauvais,0,0.44,84,5000,1
28,59,Homme,Rabat,Marie,Bac+2,Public,13,13700,1,Moyen,1,0.13,60,188000,0
29,22,Homme,Meknes,Celibataire,Bac+3,Prive,1,8900,1,Mauvais,0,0.12,84,159000,0
30,40,Femme,Fes,Veuf,Bac+2,Sans emploi,0,2000,0,Moyen,6,0.39,24,5000,0
31,58,Femme,Casablanca,Celibataire,Bac+3,Prive,16,15200,5,Moyen,5,0.25,24,65000,0
32,62,Femme,Marrakech,Divorce,Bac+2,Public,6,9200,3,Moyen,1,0.48,120,5000,1
33,57,Femme,Rabat,Celibataire,Bac+2,Public,10,10300,5,Mauvais,0,0.34,60,40000,1
34,55,Femme,Casablanca,Veuf,Bac,Public,5,9400,0,Moyen,6,0.41000000000000003,120,5000,0
35,50,Homme,Fes,Veuf,Bac+3,Public,17,15300,0,Moyen,4,,120,5000,0
36,51,Femme,Casablanca,Celibataire,Bac,Sans emploi,0,2100,0,Bon,0,0.56,48,5000,0
37,59,Femme,Marrakech,Celibataire,Bac+2,Sans emploi,0,2000,0,Bon,1,0.24,12,6000,1
38,47,Homme,Agadir,Veuf,Bac,Independant,15,7100,3,Mauvais,6,0.29000000000000004,36,31000,0
39,64,Homme,Fes,Divorce,Bac+5,Independant,7,14400,0,Moyen,6,0.31,60,82000,1
40,30,Femme,Tanger,Divorce,Bac+5,Independant,7,16100,2,Mauvais,1,0.18,12,36000,1
41,29,Femme,Tanger,Veuf,Bac+2,Sans emploi,0,2000,2,Mauvais,0,0.25,60,21000,0
42,65,Homme,Rabat,Veuf,Bac+2,Independant,11,11000,4,Moyen,0,0.55,36,5000,1
43,53,Homme,Tanger,Veuf,Bac+2,Sans emploi,0,2000,3,Mauvais,0,0.39,84,5000,1
44,22,Homme,Rabat,Veuf,Bac,Prive,1,7600,5,Moyen,6,0.61,84,5000,0
